datetime,open,high,low,close,volume
2023-12-08,20934.0996,21006.0996,20862.6992,20969.4004,292400
2023-12-11,20965.3008,21026.0996,20923.6992,20997.0996,212900
2023-12-12,21018.5508,21037.9004,20867.1504,20906.4004,244900
2023-12-13,20929.75,20950.0,20769.5,20926.3496,260300
2023-12-14,21110.4004,21210.9004,21074.4492,21182.6992,334400
2023-12-15,21287.4492,21492.3008,21235.3008,21456.6504,508800
2023-12-18,21434.8008,21482.8008,21365.3496,21418.6504,249700
2023-12-19,21477.6504,21505.0508,21337.75,21453.0996,249800
2023-12-20,21543.5,21593.0,21087.3496,21150.1504,363900
2023-12-21,21033.9492,21288.3496,20976.8008,21255.0508,277500
2023-12-22,21295.8496,21390.5,21232.4492,21349.4004,284700
2023-12-26,21365.1992,21477.1504,21329.4492,21441.3496,219500
2023-12-27,21497.6504,21675.75,21495.8008,21654.75,256500
2023-12-28,21715.0,21801.4492,21678.0,21778.6992,393100
2023-12-29,21737.6504,21770.3008,21676.9004,21731.4004,270900
2024-01-01,21727.75,21834.3496,21680.8496,21741.9004,154000
2024-01-02,21751.3496,21755.5996,21555.6504,21665.8008,263700
2024-01-03,21661.0996,21677.0,21500.3496,21517.3496,311900
2024-01-04,21605.8008,21685.6504,21564.5508,21658.5996,339200
2024-01-05,21705.75,21749.5996,21629.1992,21710.8008,309300
2024-01-08,21747.5996,21763.9492,21492.9004,21513.0,231500
2024-01-09,21653.5996,21724.4492,21517.8496,21544.8496,228600
2024-01-10,21529.3008,21641.8496,21448.6504,21618.6992,217000
2024-01-11,21688.0,21726.5,21593.75,21647.1992,212500
2024-01-12,21773.5508,21928.25,21715.1504,21894.5508,294700
2024-01-15,22053.1504,22115.5508,21963.5508,22097.4492,345500
2024-01-16,22080.5,22124.1504,21969.8008,22032.3008,292400
2024-01-17,21647.25,21851.5,21550.4492,21571.9492,456000
2024-01-18,21414.1992,21539.4004,21285.5508,21462.25,387300
2024-01-19,21615.1992,21670.5996,21575.0,21622.4004,343100
2024-01-23,21716.6992,21750.25,21192.5996,21238.8008,449700
2024-01-24,21185.25,21482.3496,21137.1992,21453.9492,407500
2024-01-25,21454.5996,21459.0,21247.0508,21352.5996,418100
2024-01-29,21433.0996,21763.25,21429.5996,21737.5996,376700
2024-01-30,21775.75,21813.0508,21501.8008,21522.0996,375100
2024-01-31,21487.25,21741.3496,21448.8496,21725.6992,410600
2024-02-01,21780.6504,21832.9492,21658.75,21697.4492,332500
2024-02-02,21812.75,22126.8008,21805.5508,21853.8008,442800
2024-02-05,21921.0508,21964.3008,21726.9492,21771.6992,440800
2024-02-06,21825.1992,21951.4004,21737.5508,21929.4004,371000
2024-02-07,22045.0508,22053.3008,21860.1504,21930.5,346300
2024-02-08,22009.6504,22011.0508,21665.3008,21717.9492,491100
2024-02-09,21727.0,21804.4492,21629.9004,21782.5,349200
2024-02-12,21800.8008,21831.6992,21574.75,21616.0508,287400
2024-02-13,21664.3008,21766.8008,21543.3496,21743.25,365800
2024-02-14,21578.1504,21870.8496,21530.1992,21840.0508,359100
2024-02-15,21906.5508,21953.8496,21794.8008,21910.75,345400
2024-02-16,22020.3008,22068.6504,21968.9492,22040.6992,343900
2024-02-19,22103.4492,22186.6504,22021.0508,22122.25,0
2024-02-20,22099.1992,22215.5996,22045.8496,22196.9492,295700
2024-02-21,22248.8496,22249.4004,21997.9492,22055.0508,364500
2024-02-22,22081.5508,22252.5,21875.25,22217.4492,343500
2024-02-23,22290.0,22297.5,22186.0996,22212.6992,226000
2024-02-26,22169.1992,22202.1504,22075.1504,22122.0508,207800
2024-02-27,22090.1992,22218.25,22085.6504,22198.3496,252200
2024-02-28,22214.0996,22229.1504,21915.8496,21951.1504,203000
2024-02-29,21935.1992,22060.5508,21860.6504,21982.8008,360200
2024-03-01,22048.3008,22353.3008,22047.75,22338.75,351500
2024-03-04,22403.5,22440.9004,22358.3008,22405.5996,298800
2024-03-05,22371.25,22416.9004,22269.1504,22356.3008,296200
2024-03-06,22327.5,22497.1992,22224.3496,22474.0508,312300
2024-03-07,22505.3008,22525.6504,22430.0,22493.5508,379900
2024-03-11,22517.5,22526.5996,22307.25,22332.6504,277900
2024-03-12,22334.4492,22452.5508,22256.0,22335.6992,299200
2024-03-13,22432.1992,22446.75,21905.6504,21997.6992,493300
2024-03-14,21982.5508,22204.5996,21917.5,22146.6504,426700
2024-03-15,22064.8496,22120.9004,21931.6992,22023.3496,661500
2024-03-18,21990.0996,22123.6992,21916.5508,22055.6992,356300
2024-03-19,21946.4492,21978.3008,21793.0996,21817.4492,344200
2024-03-20,21843.9004,21930.9004,21710.1992,21839.0996,312400
2024-03-21,21989.9004,22080.9492,21941.3008,22011.9492,353200
2024-03-22,21932.1992,22180.6992,21883.3008,22096.75,388700
2024-03-26,21947.9004,22073.1992,21947.5508,22004.6992,328400
2024-03-27,22053.9492,22193.5996,22052.8496,22123.6504,409100
2024-03-28,22163.5996,22516.0,22163.5996,22326.9004,410500
2024-04-01,22455.0,22529.9492,22427.75,22462.0,0
2024-04-02,22458.8008,22497.5996,22388.1504,22453.3008,289500
2024-04-03,22385.6992,22521.0996,22346.5,22434.6504,309600
2024-04-04,22592.0996,22619.0,22303.8008,22514.6504,401000
2024-04-05,22486.4004,22537.5996,22427.5996,22513.6992,242200
2024-04-08,22578.3496,22697.3008,22550.3496,22666.3008,227600
2024-04-09,22765.0996,22768.4004,22612.25,22642.75,232400
2024-04-10,22720.25,22775.6992,22673.6992,22753.8008,276800
2024-04-12,22677.4004,22726.4492,22503.75,22519.4004,357200
2024-04-15,22339.0508,22427.4492,22259.5508,22272.5,355500
2024-04-16,22125.3008,22213.75,22079.4492,22147.9004,317300
2024-04-18,22212.3496,22326.5,21961.6992,21995.8496,456900
2024-04-19,21861.5,22179.5508,21777.6504,22147.0,362500
2024-04-22,22336.9004,22375.6504,22198.1504,22336.4004,279300
2024-04-23,22447.0508,22447.5508,22349.4492,22368.0,231500
2024-04-24,22421.5508,22476.4492,22384.0,22402.4004,235900
2024-04-25,22316.9004,22625.9492,22305.25,22570.3496,475000
2024-04-26,22620.4004,22620.4004,22385.5508,22419.9492,329900
2024-04-29,22475.5508,22655.8008,22441.9004,22643.4004,292000
2024-04-30,22679.6504,22783.3496,22568.4004,22604.8496,361900
2024-05-02,22567.8496,22710.5,22567.8496,22648.1992,445900
2024-05-03,22766.3496,22794.6992,22348.0508,22475.8496,438100
2024-05-06,22561.5996,22588.8008,22409.4492,22442.6992,320300
2024-05-07,22489.75,22499.0508,22232.0508,22302.5,297800
2024-05-08,22231.1992,22368.6504,22185.1992,22302.5,277400
2024-05-09,22224.8008,22307.75,21932.4004,21957.5,331300
2024-05-10,21990.9492,22131.3008,21950.3008,22055.1992,265800
2024-05-13,22027.9492,22131.6504,21821.0508,22104.0508,278200
2024-05-14,22112.9004,22270.0508,22081.25,22217.8496,230200
2024-05-15,22255.5996,22297.5508,22151.75,22200.5508,231900
2024-05-16,22319.1992,22432.25,22054.5508,22403.8496,368900
2024-05-17,22415.25,22502.1504,22345.6504,22466.0996,242700
2024-05-21,22404.5508,22591.0996,22404.5508,22529.0508,347600
2024-05-22,22576.5996,22629.5,22483.1504,22597.8008,290300
2024-05-23,22614.0996,22993.5996,22577.4492,22967.6504,369800
